like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
2.7972028,3.8744296e-05,0.9303832,0.00029344723,0.74657434,0.47983682,0.26388872,0.073180206,2.7972028,0.0
2.4119692,0.00017476076,0.7603371,0.00034741362,0.58997756,0.4822602,0.33896366,0.058163915,2.4119692,0.0
4.1405134,0.00014354866,0.816277,0.0011788007,0.8630062,0.52558136,0.2577593,0.0534843,4.1405134,0.0
3.59218,4.2789703e-05,0.18611228,0.0012746222,0.7911994,0.5404768,0.39043644,0.052388016,3.59218,0.0
1.5976892,0.00010565819,0.59830034,0.0015066684,0.7193988,0.5299472,0.38605276,0.0955278,1.5976892,0.0
3.9674127,3.447871e-05,0.580451,0.00041108954,0.7950826,0.4685044,0.2679926,0.050432105,3.9674127,0.0
1.2332578,0.0001572808,0.7706123,0.0011327058,0.5463304,0.5112641,0.3455481,0.09248916,1.2332578,0.0
1.3020461,6.145207e-05,0.57421064,0.0011487141,0.31762964,0.48361984,0.27040985,0.096476644,1.3020461,0.0
1.2801038,0.00012383457,0.39121166,0.00049090263,0.5372794,0.5156573,0.4235999,0.08819547,1.2801038,0.0
1.5875404,3.437765e-05,0.7607759,0.0014659471,0.40230238,0.5074551,0.4304364,0.0659411,1.5875404,0.0
2.0007985,8.988311e-05,0.74293315,0.0010899967,0.7682982,0.59857535,0.44513685,0.085435145,2.0007985,0.0
2.0494702,6.457278e-05,0.14947452,0.0014074653,0.5857892,0.5461471,0.42469895,0.06292581,2.0494702,0.0
2.3472803,0.00016752645,0.5168503,0.0007505476,0.578543,0.5934922,0.43861634,0.0523236,2.3472803,0.0
1.3504941,4.1458334e-05,0.87079567,0.00085697323,0.6075928,0.534771,0.29920462,0.09660087,1.3504941,0.0
3.8862054,0.00012308308,0.179855,0.00045800183,0.81529874,0.5287853,0.35593313,0.05005884,3.8862054,0.0
2.0842285,0.0001716395,0.86638343,0.00056917605,0.5890801,0.45151624,0.34417993,0.066049375,2.0842285,0.0
3.1838372,0.00010046975,0.92211646,0.0018822271,0.94027096,0.45286992,0.28777024,0.09148065,3.1838372,0.0
1.6608777,0.00018013747,0.27718008,0.000113549664,0.28904933,0.49863052,0.3253412,0.060310725,1.6608777,0.0
4.442448,0.00018559914,0.6892593,0.0011034291,0.9220161,0.54910916,0.33804673,0.057246063,4.442448,0.0
2.2370741,4.4584693e-05,0.8522078,0.0013054566,0.58489114,0.46166,0.2803036,0.07003547,2.2370741,0.0
1.5411162,0.00015229425,0.4718658,0.000447935,0.4733819,0.5312753,0.3262187,0.07378647,1.5411162,0.0
2.54829,6.964115e-05,0.5302688,0.0004151622,0.57846135,0.5703693,0.368772,0.05171312,2.54829,0.0
2.8129592,0.00014283934,0.34712923,0.0006204394,0.8076076,0.5270411,0.31464732,0.07703315,2.8129592,0.0
2.706648,0.00010643445,0.4896654,0.0006950286,0.738255,0.5798912,0.3075097,0.07045645,2.706648,0.0
1.9228567,0.00011895837,0.66679245,0.00127015,0.32823285,0.47566184,0.25795838,0.05980531,1.9228567,0.0
1.7763263,0.00015475,0.9419317,0.0014487787,0.3377762,0.59084225,0.35035676,0.055184506,1.7763263,0.0
1.7732207,0.000112013375,0.22204283,0.0007379433,0.28126097,0.48379356,0.37968448,0.055494014,1.7732207,0.0
2.219192,8.1032485e-05,0.81948245,0.00036124123,0.7934726,0.47140387,0.41289732,0.08506982,2.219192,0.0
1.7970415,9.843972e-05,0.9287802,0.0013846047,0.6943122,0.56665224,0.3949808,0.082821466,1.7970415,0.0
4.6272893,6.6140215e-05,0.6782795,0.0018776784,0.91256475,0.5431657,0.30361807,0.05296092,4.6272893,0.0
1.7108461,0.0001890176,0.91936564,0.0015717697,0.59175915,0.5130888,0.3841768,0.073693976,1.7108461,0.0
3.2830255,0.00019372052,0.44919086,0.0006227272,0.8749426,0.48029342,0.37317455,0.07595976,3.2830255,0.0
2.0294049,0.00013904193,0.68236804,0.00061534514,0.7788091,0.57235515,0.39369926,0.08788356,2.0294049,0.0
2.5875666,0.00018586077,0.5493504,0.00070069666,0.71539235,0.5461014,0.30798593,0.070830524,2.5875666,0.0
2.8373346,5.8570047e-05,0.24952754,0.0010046434,0.62348783,0.45545813,0.31867746,0.05536163,2.8373346,0.0
1.3085437,0.00011420393,0.24433817,0.00041587325,0.30791727,0.50734484,0.27273294,0.09246462,1.3085437,0.0
4.112884,9.5515876e-05,0.297065,0.00018557688,0.8379752,0.55408984,0.30854613,0.05022357,4.112884,0.0
