behavioral_id,line,rmse_s,normalized_rmse,P0,Hs,D,r,phi_soil_top,phi_weathered_top,phi_fresh
33,TL3,0.004321417036062512,1.0185677635116246,0.00017721242318661875,0.8422758858640937,0.0015814769963276513,0.6320609960713923,0.5415763534643416,0.4000716123101349,0.09976038955805384
34,TL3,0.0042489014264504065,1.0014756704120926,3.2636092669301734e-05,0.2810962532249339,0.0010246136795740736,0.49608704623720234,0.5429181660700572,0.27145077040675014,0.09836514046806943
35,TL3,0.004263689009273391,1.004961137109256,0.0001456680988169306,0.4614714461958125,0.0011372422258273732,0.4694469576516659,0.5527428599548734,0.2514508159652623,0.09832820310151336
36,TL3,0.00432139406927258,1.0185623501873236,0.00014815815943043862,0.31504670348191155,0.00021188148224059224,0.4284984453760736,0.5683677559871224,0.27408679151742676,0.0975024026186248
37,TL3,0.004422173821924424,1.0423163656894643,0.00010878928110220314,0.5762760160860803,0.0007241218315613188,0.4508612153449605,0.49580221716135986,0.2900933116241736,0.09953647745332495
38,TL3,0.004178255663524271,0.9848243044030366,0.00011551921999186755,0.2934570454386838,0.00019306330379328674,0.4739062310192569,0.47338547273466786,0.2867060648214723,0.09581854301106056
39,TL3,0.0042448629112690674,1.0005237832552092,0.00011455044722331408,0.8824428633330644,0.0007865073244731574,0.5893871302970853,0.5005491667575364,0.35670019826407284,0.09814222434322964
40,TL3,0.004247038155681821,1.001036493280208,0.00015400103772036716,0.7148248277567723,0.0016499357398611178,0.5510017759285202,0.5389441591817343,0.3179610700454768,0.09771025003530254
41,TL3,0.004290999393535822,1.011398256412181,0.00013208918818222263,0.6547570350167968,0.00111384341472183,0.6035422662103581,0.5375446085546146,0.3762081682058469,0.09889995214747233
42,TL3,0.004282633075721402,1.009426296392135,3.6260408549065314e-05,0.4116243950418282,0.00017511963976641668,0.5571271735961463,0.581128609629644,0.33091101728158256,0.09957341455221057
43,TL3,0.004381283864662198,1.0326785103352816,0.0001423690399667594,0.2869652240075877,0.0006739779226668293,0.44971440028448695,0.5825098133279902,0.29066655662984014,0.09779531667015307
44,TL3,0.0042863507170823505,1.0103025528642502,0.00014784965712886985,0.7877220456863633,0.001165305196242718,0.5854909279654763,0.5417484929503613,0.3964792622403469,0.0966015025220288
45,TL3,0.004386540596613117,1.0339175339384064,9.09306741902415e-05,0.8386308117760483,0.0005584609429116478,0.5428790894663791,0.5239920112944705,0.352446342637161,0.09899095110290743
46,TL3,0.00419625959879864,0.9890678726432198,0.0001043003473635046,0.6089209028411277,0.0008612423313321892,0.5074132214209236,0.5377373219689201,0.304743979620801,0.09508069857514603
47,TL3,0.004416375010325341,1.0409495726879523,0.0001165519124669708,0.5405587782425472,0.0013150678078313464,0.3961802462216884,0.5301844034056206,0.27244653622391335,0.09730994672388876
48,TL3,0.00425475861111592,1.002856222077308,8.746397949195454e-05,0.45440873109059543,0.0014427205629524483,0.4734552323518716,0.5730115888053012,0.3106679510943987,0.09374980819041767
49,TL3,0.00421761568231883,0.9941015498021243,0.00011056215108957914,0.7571282591040587,0.0009466060923072298,0.5528616379066886,0.5161137382547776,0.34569829520425777,0.0957741664834148
50,TL3,0.004206675728160784,0.9915229778784495,0.00010321464049208394,0.90854195641859,0.0007917280486707018,0.567609884806032,0.482211051718071,0.3516785778961356,0.09626084197367316
